编号	|	顾客id	|	金额	|	获得积分	|	消费类型	|	消费时间
1		31357		10000.00		0.00		充值		20230401
2		31357		10000.00		0.00		充值		20230401
3		31357		10000.00		0.00		充值		20230401
4		31357		10000.00		0.00		充值		20230401
5		31357		10000.00		0.00		充值		20230401
6		31357		10000.00		0.00		充值		20230402
7		40749		0.00		0.00		消费		20230403
8		40749		0.00		0.00		消费		20230403
9		40749		1127.00		1127.00		消费		20230406
10		40749		2450.00		2450.00		消费		20230406
11		40749		588.00		588.00		消费		20230406
12		40749		1000.00		0.00		充值		20230415
13		40749		1000.00		0.00		充值		20230415
14		40749		1000.00		0.00		充值		20230415
15		40749		1000.00		0.00		充值		20230415
16		40749		490.00		490.00		消费		20230415
